"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","17/630","79/7314",0.000317795155250014,0.00308261300592514,0.00208518224672816,"3717/6655/5159/2309/5290/5894/5156/3480/5295/53358/3570/6774/5604/5293/5336/2475/4893",17
"hsa00562","hsa00562","Inositol phosphate metabolism","16/630","73/7314",0.000380306572627085,0.00356997460111232,0.00241484988391392,"9108/3632/80271/3705/10423/54928/4329/5290/51763/3613/8394/253430/64419/5293/5336/22908",16
"hsa05146","hsa05146","Amoebiasis","19/630","96/7314",0.000448523353865577,0.00407875924921509,0.00275900878858102,"1992/7414/3909/3918/1286/3912/3315/5290/81/1284/3915/5295/836/1285/5272/5293/5970/1282/3908",19
"hsa05215","hsa05215","Prostate cancer","19/630","97/7314",0.00051399620848822,0.00453251202030521,0.00306594229624552,"6655/4792/3551/5159/5290/5894/5156/5925/3480/5295/2308/5604/5293/5970/64764/2475/4893/1147/2119",19
"hsa05165","hsa05165","Human papillomavirus infection","45/630","319/7314",0.00057865105456268,0.00495257226111,0.00335008505273131,"3909/3918/51564/8516/5663/1286/3912/6655/5934/3551/5516/1311/6009/10014/896/5159/5290/5894/1284/3915/7057/5925/8515/890/5295/2308/9223/7855/836/8323/8313/1285/5604/5293/5970/8322/8325/64764/23545/1282/3908/2475/4893/1147/3672",45
"hsa05231","hsa05231","Choline metabolism in cancer","19/630","99/7314",0.000670089733345652,0.00557131749724528,0.00376862496648532,"6655/3091/160851/6009/8936/5159/5290/57153/5894/10810/5156/5879/8394/5295/5604/5881/5293/2475/4893",19
"hsa04917","hsa04917","Prolactin signaling pathway","15/630","70/7314",0.000739576007142751,0.00597823939107057,0.00404388050689165,"3717/6655/1432/2309/5290/6776/5894/5295/53358/6774/5604/5293/5970/6777/4893",15
"hsa04919","hsa04919","Thyroid hormone signaling pathway","21/630","116/7314",0.000800193087107912,0.00629341049590276,0.00425707275360397,"60/3091/6009/5290/8202/5894/9882/4609/5295/2308/1827/476/5604/5293/488/9282/71/5336/2475/1734/4893",21
"hsa04662","hsa04662","B cell receptor signaling pathway","15/630","71/7314",0.000864896721431707,0.00651491003146323,0.00440690242678106,"6655/4792/3551/4793/5290/5894/5879/5295/5604/5881/5293/5970/5336/4893/1147",15
"hsa04144","hsa04144","Endocytosis","36/630","244/7314",0.000892687208252039,0.00651491003146323,0.00440690242678106,"381/9265/8218/22905/7251/273/27131/9727/51100/858/857/28964/11021/868/9829/9525/3306/27183/23111/5156/23325/9815/3480/8394/375/50807/137492/80223/10092/7048/11031/3799/10193/160/2869/10093",36
"hsa04012","hsa04012","ErbB signaling pathway","17/630","86/7314",0.000895520279238931,0.00651491003146323,0.00440690242678106,"6655/868/5290/6776/2002/5894/4609/27/5295/53358/1398/5604/5293/6777/5336/2475/4893",17
"hsa05230","hsa05230","Central carbon metabolism in cancer","14/630","65/7314",0.00104378338832407,0.00740831624395864,0.00501123218527859,"3091/6510/5159/2744/5290/5894/3939/5156/4609/5295/5604/5293/2475/4893",14
"hsa05167","hsa05167","Kaposi's sarcoma-associated herpesvirus infection","29/630","186/7314",0.00116055292902007,0.00804097386535334,0.00543918290041987,"3459/11345/3717/3091/4792/3551/1432/59345/5290/3709/5894/5879/4609/5925/5295/1827/836/6774/5604/5293/2783/5970/5336/801/805/2475/4277/4893/1147",29
"hsa00270","hsa00270","Cysteine and methionine metabolism","11/630","45/7314",0.00119002228277197,0.00805340661131729,0.00544759282443962,"2730/27430/587/6723/1491/262/4357/7263/3939/875/55256",11
"hsa05223","hsa05223","Non-small cell lung cancer","14/630","66/7314",0.00122244130424589,0.00808478226217166,0.00546881636110002,"4616/6655/2309/5290/6776/5894/5925/5295/6774/5604/5293/6777/5336/4893",14
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","14/630","68/7314",0.00165712251549571,0.0107160589335389,0.00724869965842566,"9846/5606/6655/1432/5290/5894/241/5879/5295/5604/5881/5293/5336/4893",14
"hsa05211","hsa05211","Renal cell carcinoma","14/630","69/7314",0.00191856724650537,0.0121370232333275,0.0082098873019795,"6655/3091/5290/5908/5894/5879/5295/6921/1398/5604/5293/9915/5781/4893",14
"hsa04668","hsa04668","TNF signaling pathway","19/630","108/7314",0.00197913002654485,0.0122537625047777,0.00828885363860889,"8837/7133/5606/10059/4792/3551/1326/1432/7128/5290/5295/836/5604/5293/5970/64764/1435/4217/1147",19
"hsa04071","hsa04071","Sphingolipid signaling pathway","20/630","118/7314",0.00241857987439097,0.0144502496911373,0.00977463082742874,"9846/6093/5516/1432/5290/5894/9475/5879/91012/8560/5295/2768/166929/5604/5881/5293/253782/5970/4217/4893",20
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","8/630","29/7314",0.00243320355623962,0.0144502496911373,0.00977463082742874,"7005/55233/10413/126374/4771/7003/79633/7004",8
"hsa04530","hsa04530","Tight junction","26/630","170/7314",0.00269800461022876,0.0157023868315314,0.0106216181497427,"8735/8531/6093/60/58538/4637/10627/5516/51422/11149/51421/10096/103910/9414/7408/81/5562/9475/5879/10097/9223/123720/861/71/4771/4217",26
"hsa04670","hsa04670","Leukocyte transendothelial migration","19/630","112/7314",0.00304034897647087,0.0173478735716279,0.011734680260063,"7414/6093/60/10627/1432/103910/2185/5290/7408/5908/81/9475/5879/5295/5293/5781/71/5336/6494",19
"hsa04022","hsa04022","cGMP-PKG signaling pathway","25/630","163/7314",0.00310667903825157,0.0173854538486771,0.0117601008128147,"4659/6093/4205/6722/4209/3764/3709/7408/5894/9475/7225/185/2768/476/7417/5604/3667/147/5499/488/64764/8660/801/805/5500",25
"hsa05213","hsa05213","Endometrial cancer","12/630","58/7314",0.00333847108988229,0.0183300959840707,0.0123990882583513,"4616/6655/2309/5290/2002/5894/4609/5295/8313/5604/5293/4893",12
"hsa04978","hsa04978","Mineral absorption","11/630","51/7314",0.003475372808191,0.0187283979108071,0.0126685129655306,"4891/4502/1317/261729/476/26872/55503/4493/4501/4499/65010",11
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","22/630","139/7314",0.00364064157623906,0.0192623036124648,0.0130296645886451,"3720/3717/1432/5290/3624/5894/91/4609/658/3480/5295/3625/7855/8323/6774/8313/5604/5293/8322/8325/84333/4893",22
"hsa04512","hsa04512","ECM-receptor interaction","15/630","82/7314",0.0038854641211557,0.0201905367724341,0.013657552455942,"3909/3918/3161/8516/1286/3912/1311/1284/3915/7057/8515/1285/1282/3908/3672",15
"hsa04611","hsa04611","Platelet activation","20/630","123/7314",0.00397215654684965,0.0202789044760219,0.0137173273178372,"4659/6093/10235/60/10627/1432/103910/5290/3709/7408/5908/9475/7094/5295/5293/5499/71/23365/5336/5500",20
"hsa05410","hsa05410","Hypertrophic cardiomyopathy (HCM)","15/630","83/7314",0.00437666125094948,0.0217027320223009,0.0146804517568105,"60/8516/51422/5562/8515/7170/6443/783/7171/488/71/3908/7169/1756/3672",15
"hsa04062","hsa04062","Chemokine signaling pathway","27/630","185/7314",0.00440021027256273,0.0217027320223009,0.0146804517568105,"6093/10235/3717/6655/4792/3551/4793/59345/2309/2185/5290/5908/5894/9475/5879/5295/53358/1398/6774/5604/5293/2783/5970/6777/2869/4893/1147",27
"hsa05225","hsa05225","Hepatocellular carcinoma","25/630","168/7314",0.00466175120650552,0.0225525433979979,0.0152552925137479,"60/4616/6655/6603/5290/2002/5894/4609/5925/3480/5295/53358/7855/7048/8323/8313/5604/5293/8322/8325/71/5336/7296/2475/4893",25
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","13/630","68/7314",0.00472750909717482,0.0225525433979979,0.0152552925137479,"4792/3551/28964/1432/529/5879/6868/836/5970/5781/23545/5336/1147",13
"hsa04350","hsa04350","TGF-beta signaling pathway","15/630","84/7314",0.00491726861475424,0.0230794381757014,0.0156117017140754,"4052/6093/5516/3624/91/4609/7057/658/151449/4681/3625/7048/7050/9241/7027",15
"hsa04921","hsa04921","Oxytocin signaling pathway","23/630","153/7314",0.00573668923208198,0.0264980407386644,0.0179241585029128,"4659/6093/60/4637/51422/10645/3709/54776/2002/5894/5562/9475/1827/783/5598/5604/5499/71/3768/801/805/4893/5500",23
"hsa04390","hsa04390","Hippo signaling pathway","23/630","154/7314",0.00621474653684943,0.0282576756597373,0.0191144342498494,"7005/60/5516/896/55233/4609/10413/658/85407/126374/151449/7855/7048/8323/8313/5499/8322/8325/71/4771/7003/7004/5500",23
"hsa05219","hsa05219","Bladder cancer","9/630","41/7314",0.00703179714633782,0.0310381771255983,0.0209952581750294,"1890/23604/5894/4609/7057/5925/1613/5604/4893",9
"hsa04210","hsa04210","Apoptosis","21/630","138/7314",0.00703958656456869,0.0310381771255983,0.0209952581750294,"8837/823/60/4616/4792/3551/5414/1075/5290/3709/5894/4170/5295/836/5604/5293/5970/71/4217/4893/1147",21
"hsa04270","hsa04270","Vascular smooth muscle contraction","19/630","121/7314",0.00722313778310195,0.0313721357445174,0.0212211589228604,"4659/6093/4637/59/800/3709/54776/5894/9475/185/2768/94274/5604/147/5499/23365/801/805/5500",19
"hsa04926","hsa04926","Relaxin signaling pathway","20/630","130/7314",0.00746421835901645,0.0314310687189389,0.0212610231522575,"1286/6655/4792/59/1432/59345/5290/5894/1284/5295/53358/7048/1285/5604/5293/2783/5970/64764/1282/4893",20
"hsa00920","hsa00920","Sulfur metabolism","4/630","10/7314",0.00751089756707888,0.0314310687189389,0.0212610231522575,"54928/4357/7263/58472",4
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis","21/630","139/7314",0.00764448355401717,0.0314310687189389,0.0212610231522575,"4205/60/3551/858/857/1432/1843/5290/5562/5879/658/5295/5598/5881/5293/5970/71/4217/801/805/1147",21
"hsa04520","hsa04520","Adherens junction","13/630","72/7314",0.00777675927066529,0.0314310687189389,0.0212610231522575,"9855/7414/60/10580/8936/5819/81/10810/5879/3480/7048/5881/71",13
"hsa05210","hsa05210","Colorectal cancer","13/630","72/7314",0.00777675927066529,0.0314310687189389,0.0212610231522575,"4616/5290/5894/5879/4609/5899/5295/7048/836/8313/5604/5881/5293",13
"hsa00330","hsa00330","Arginine and proline metabolism","10/630","50/7314",0.00911149345717826,0.0363211588498476,0.0245688432082528,"4129/5625/6723/262/6303/219/29920/8659/1152/4128",10
"hsa04659","hsa04659","Th17 cell differentiation","17/630","107/7314",0.00955556113772192,0.0375765985280686,0.0254180644772973,"3459/6095/3717/3091/4792/3551/4793/1432/6776/861/3570/7048/6774/5970/6777/2475/1147",17
"hsa04370","hsa04370","VEGF signaling pathway","11/630","59/7314",0.0108954756068597,0.0422744453546155,0.0285958447506352,"3315/1432/5290/5894/5879/5295/5604/5881/5293/5336/4893",11
"hsa05161","hsa05161","Hepatitis B","21/630","144/7314",0.011335674228198,0.043403700005337,0.0293597102586291,"57506/4792/3551/2185/5290/6776/2002/5894/4609/5925/890/5295/836/6774/5604/5293/5970/6777/64764/4893/1147",21
"hsa05218","hsa05218","Melanoma","13/630","76/7314",0.0122010852634178,0.0461105949565531,0.0311907442824215,"27006/4616/2259/5159/5290/5894/5156/5925/3480/5295/5604/5293/4893",13
"hsa04371","hsa04371","Apelin signaling pathway","20/630","137/7314",0.0131242552977751,0.0489635678416993,0.0331205902926308,"11345/4205/3991/51422/59/10014/59345/4209/3709/6237/5894/5562/22800/185/5604/2783/801/805/2475/4893",20
